band,callsign,frequency,city,state,county,lat,lon,class,format,slogan,owner,power,haat,market,rank,population,nfl,nba,nhl,mlb,facility_id
FM,WSTY,89.3,MILLEDGEVILLE,GA,,33.129,83.17977777777779,A,,,,0.55,20.0,,,,,,,,766434.0
FM,WUGC,90.9,PELHAM,GA,,31.169444444444444,84.14722222222223,A,,,"MITCHELL COUNTY PUBLIC RADIO, LLC",0.086,76.0,,,,,,,,762463.0
FM,W207CT,89.3,WARNER ROBINS,GA,,32.60744444444445,83.60230555555555,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,"CSN INTERNATIONAL, INC.",0.019,,,,,,,,,77535.0
FM,W218DA,91.5,BLUE RIDGE,GA,,34.906166666666664,84.36991666666665,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,CSN INTERNATIONAL,0.01,,,,,,,,,92864.0
FM,W207CR,89.3,DALTON,GA,,34.733111111111114,85.01883333333333,D,RELIGIOUS TEACHING,LIFETALK RADIO,"LIFETALK RADIO, INC.",0.01,237.0,,,,,,,,90196.0
FM,W210CG,89.9,BRUNSWICK,GA,,31.188694444444444,81.48044444444444,D,RELIGIOUS TEACHING,RADIO BY GRACE,"RADIO BY GRACE, INC.",0.013,117.3,,,,,,,,142658.0
FM,W216CR,91.1,MILLEDGEVILLE,GA,,33.11388888888889,83.21888888888888,D,CHRISTIAN CHR + ROCK,EFFECT RADIO,"CSN INTERNATIONAL, INC.",0.25,69.7,,,,,,,,78733.0
FM,W216CS,91.1,DUBLIN,GA,,32.524,82.92305555555556,D,RELIGIOUS TEACHING,THE SONLIFE RADIO NETWORK,"FAMILY WORSHIP CENTER CHURCH, INC.",0.01,104.0,,,,,,,,93572.0
FM,W203CG,88.5,MACON,GA,,32.851305555555555,83.60347222222222,D,RELIGIOUS TEACHING,RADIO BY GRACE,"RADIO BY GRACE, INC.",0.012,,,,,,,,,148623.0
FM,W217CK,91.3,TOCCOA,GA,,34.59916666666667,83.36527777777778,D,CONTEMPORARY CHRISTIAN,HIS RADIO,"RADIO TRAINING NETWORK, INC.",0.01,252.5,,,,,,,,90957.0
FM,W201DR,88.1,BRUNSWICK,GA,,31.200277777777778,81.49638888888889,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,CSN INTERNATIONAL,0.055,,,,,,,,,92893.0
FM,W211CJ,90.1,WARNER ROBBINS,GA,,32.61688888888889,83.6498888888889,D,CONTEMPORARY CHRISTIAN,K-LOVE,"RADIO BY GRACE, INC.",0.05,,,,,,,,,149343.0
FM,W245DT,96.9,MELDRIM,GA,,32.05880555555555,81.29844444444444,D,CLASSIC HITS,THE ROCKET 97.1,"RADIOJONES, LLC",0.25,,,,,,,,,201677.0
FM,W245DS,96.7,YOUNG HARRIS,GA,,34.940638888888884,83.91879166666668,D,EASY LISTENING,SOFT & EASY FAVORITES,"TUGART PROPERTIES, LLC",0.25,,,,,,,,,142796.0
FM,W249EF,97.7,AUGUSTA,GA,,33.51222222222222,82.07972222222222,D,CLASSIC HIP-HOP,HOT 97.7,"BEASLEY MEDIA GROUP LICENSES, LLC",0.25,148.4,,,,,,,,151831.0
FM,W253DK,98.5,METTER,GA,,32.399166666666666,82.04305555555555,D,SPANISH HITS,TU94.9,"RADIOJONES, LLC",0.25,17.9,,,,,,,,152289.0
FM,WABW-FM,89.9,PELHAM,GA,,31.135749999999998,84.1043611111111,A,,,,0.92,100.0,,,,,,,,765562.0
FM,WAIA,104.7,ATHENS,GA,,33.867333333333335,83.82877777777777,C1,CONTEMPORARY CHRISTIAN,AIR1,"K-LOVE, INC.",24.0,505.0,,,,,,,,56390.0
FM,WBMQ,103.7,METTER,GA,,32.408166666666666,81.92500000000001,A,CLASSIC HITS,103.7 THE BOOMER,"RADIOJONES, LLC",6.0,94.0,,,,,,,,73247.0
FM,WCCX-LP,96.7,BISHOP,GA,,33.79138888888889,83.42972222222222,LP100,COUNTRY,RADIO CROSS COUNTRY,"ALL FOR ONE EDUCATIONAL MEDIA, INC.",0.04,47.0,,,,,,,,778241.0
FM,WCLM,91.3,SUMMERVILLE,GA,,34.517916666666665,85.49205555555555,C2,,,URBAN COMMUNITY LIFE,10.5,184.0,,,,,,,,766290.0
FM,WCRY,89.9,BLAIRSVILLE,GA,,34.940638888888884,83.91877777777778,A,COUNTRY,TODAY`S CHRISTIAN COUNTRY,,0.08,491.0,,,,,,,,767393.0
FM,WDOL-LP,104.1,ATHENS,GA,,33.96138888888889,83.39819444444446,LP100,VARIETY,,"ARMSTRONG HERTZ, INC.",0.021,65.0,,,,,,,,787844.0
FM,WFAG-LP,89.7,VALDOSTA,GA,,30.870833333333334,83.28027777777778,LP100,,,,0.1,30.0,,,,,,,,782543.0
FM,WGGR,90.1,LUMPKIN,GA,,32.05752777777777,84.80566666666667,A,,,UCHEE PINES INSTITUTE,0.36,123.0,,,,,,,,764904.0
FM,WGJL,91.9,MILLEDGEVILLE,GA,,33.08052777777778,83.18627777777778,C3,,,"ELIJAH RADIO, INC.",12.5,143.0,,,,,,,,766557.0
FM,WIBE,91.3,BOWMAN,GA,,34.112500000000004,82.90775000000001,A,,,,2.7,151.0,,,,,,,,767752.0
FM,WILH,90.3,LINCOLNTON,GA,,33.513555555555556,82.44677777777778,C3,,,"RESTORED TOGETHER RADIO, INC.",10.0,96.0,,,,,,,,767855.0
FM,WLSO,91.5,BOWDON,GA,,33.38302777777778,85.24677777777778,A,,,LIVING SPRINGS RETREAT,6.0,80.0,,,,,,,,766075.0
FM,WMOY-LP,94.9,DALTON,GA,,34.781666666666666,84.96305555555556,LP100,RELIGIOUS TEACHING,,"LA SENDA ANTIGUA, INC.",0.1,-13.0,,,,,,,,788293.0
FM,WNGA,90.3,DAHLONEGA,GA,,34.61194444444445,83.96761111111111,A,,,"CLARKE PUBLIC RADIO, INC.",1.0,97.0,,,,,,,,767745.0
FM,WNGA-LP,102.1,TALKING ROCK,GA,,34.47063888888889,84.43269444444445,LP100,GOSPEL MUSIC,,"CANTON PICKENS RADIO, INC.",0.1,21.0,,,,,,,,194275.0
FM,WNMR,99.3,PEMBROKE,GA,,32.15094444444444,81.74780555555556,C1,,,,100.0,124.0,,,,,,,,762433.0
FM,WOHJ-LP,95.7,LEESBURG,GA,,31.640555555555554,84.10305555555556,LP100,RELIGIOUS TEACHING,,,0.1,21.0,,,,,,,,788200.0
FM,WPBD,88.5,BAINBRIDGE,GA,,31.040833333333335,84.6555,A,NEWS/TALK,GEORGIA PUBLIC BROADCASTING,,6.0,78.0,,,,,,,,765569.0
FM,WRBN-LP,97.5,CLAYTON,GA,,34.90461388888889,83.41205000000001,LP100,,,"TS-HCX, INC.",0.001,328.88,,,,,,,,787852.0
FM,WRDA,89.9,HOMER,GA,,34.226333333333336,83.49638888888889,A,,,,2.6,95.0,,,,,,,,767748.0
FM,WTBS-LD,87.7,ATLANTA,GA,,34.04141666666666,84.22680555555556,,RHYTHM AND BLUES,87.7 THE VIBE,"PRISM BROADCASTING NETWORK, INC.",0.0,,,,,,,,,53584.0
FM,WTFT,91.9,CUTHBERT,GA,,31.832305555555557,84.89266666666667,A,,,EUFAULA CHRISTIAN RADIO,3.3,62.0,,,,,,,,765597.0
FM,WTGH-LP,98.7,AILEY,GA,,32.1825,82.557,LP100,RELIGIOUS,,CALVARY'S GRACE BAPTIST CHURCH,0.038,48.0,,,,,,,,778349.0
FM,WTRR-LP,100.3,CORNELIA,GA,,34.54766111111111,83.55678333333333,LP100,,,,0.038,48.0,,,,,,,,778365.0
FM,WTUC-LP,98.5,TOCCOA,GA,,34.57555555555556,83.31138888888889,LP100,COUNTRY,TOCCOA'S HOMETOWN COUNTRY,NORTHEAST GA BROADCAST CORP,0.1,29.0,,,,,,,,787827.0
FM,WVCA-LP,99.5,BRUNSWICK,GA,,31.194444444444446,81.49175,LP100,,,,0.1,29.0,,,,,,,,788197.0
FM,WVSO,90.7,COLLINS,GA,,32.219861111111115,82.43513888888889,C3,,,"TOCCOA FOUNDATION, INC.",11.0,107.0,,,,,,,,765825.0
FM,WWIF,89.1,GRAHAM,GA,,31.5675,82.4725,C3,,,"INVERSE FOCUS MINISTRY, INC.",5.6,132.0,,,,,,,,768039.0
FM,WWJL,90.9,COCHRAN,GA,,32.265277777777776,83.33916666666666,C2,,,"ELIJAH RADIO, INC.",9.0,210.0,,,,,,,,766584.0
FM,WWLR-LP,99.9,WILDWOOD,GA,,34.93083333333333,85.4725,LP100,,,,0.1,4.0,,,,,,,,787854.0
FM,WWMF,88.5,ROCHELLE,GA,,31.9485,83.43375,A,,,"INVERSE FOCUS MINISTRY, INC.",0.13,74.0,,,,,,,,768063.0
FM,WXDG-LP,96.5,DOUGLAS,GA,,31.52361111111111,82.87277777777777,LP100,VARIETY,,,0.016,74.0,,,,,,,,787939.0
FM,WZZV-LP,100.3,LAGRANGE,GA,,33.06194444444444,84.96888888888888,LP100,URBAN GOSPEL,,,0.085,33.0,,,,,,,,778275.0
FM,W201CC,88.1,BUFORD,GA,,34.10566666666667,83.93019444444445,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,CSN INTERNATIONAL,0.019,66.0,ATLANTA,7.0,"5,102,700",,,,,91293.0
FM,W201DJ,88.1,DOUGLAS,GA,,31.54575,82.89152777777778,D,RELIGIOUS TEACHING,RADIO BY GRACE,FAMILY FIRST,0.013,102.3,,,,,,,,152243.0
FM,W201DM,88.1,WOODSTOCK,GA,,34.06627777777778,84.45394444444445,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,"CSN INTERNATIONAL, INC.",0.01,232.9,ATLANTA,7.0,"5,102,700",,,,,122159.0
FM,W203BO,88.5,ATHENS,GA,,33.99316666666667,83.41544444444445,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,CSN INTERNATIONAL,0.019,88.3,,,,,,,,77055.0
FM,W204CM,88.7,WAYCROSS,GA,,31.19325,82.32288888888888,D,RELIGIOUS TEACHING,RADIO BY GRACE,FAMILY FIRST,0.038,,,,,,,,,146657.0
FM,W206AT,89.1,SAVANNAH,GA,,32.05880555555555,81.29844444444444,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,"CSN INTERNATIONAL, INC.",0.01,91.4,SAVANNAH,145.0,"341,400",,,,,76657.0
FM,W206BP,89.1,DUBLIN,GA,,32.522666666666666,82.89986111111112,D,RELIGIOUS TEACHING,RADIO BY GRACE,FAMILY FIRST,0.038,64.8,,,,,,,,152259.0
FM,W209CD,89.7,ATLANTA,GA,,33.74483333333333,84.35991666666666,D,RELIGIOUS TEACHING,RADIO BY GRACE,"RADIO BY GRACE, INC.",0.01,,ATLANTA,7.0,"5,102,700",,,,,152214.0
FM,W209CG,89.7,TALLAPOOSA,GA,,33.972055555555556,84.50244444444445,D,RELIGIOUS TEACHING,RADIO BY GRACE,"RADIO BY GRACE, INC.",0.01,170.3,ATLANTA,7.0,"5,102,700",,,,,150669.0
FM,W211CG,90.1,MACON,GA,,32.89666666666667,83.53472222222221,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,CSN INTERNATIONAL,0.01,,MACON,130.0,"385,400",,,,,78537.0
FM,W212AR,90.3,LINDALE,GA,,34.23536111111111,85.22911111111111,D,CONTEMPORARY CHRISTIAN,WAY FM,HOPE MEDIA GROUP,0.01,217.0,,,,,,,,64263.0
FM,W212BL,90.3,LAGRANGE,GA,,33.041777777777774,85.00827777777778,D,RELIGIOUS TEACHING,THE SONLIFE RADIO NETWORK,"FAMILY WORSHIP CENTER CHURCH, INC.",0.01,134.0,,,,,,,,106562.0
FM,W213BE,90.5,SNELLVILLE,GA,,33.85011111111111,84.03630555555556,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,CSN INTERNATIONAL,0.01,139.0,ATLANTA,7.0,"5,102,700",,,,,93159.0
FM,W214BG,90.7,WAYCROSS,GA,,31.197777777777777,82.32583333333334,D,RELIGIOUS TEACHING,THE SONLIFE RADIO NETWORK,"FAMILY WORSHIP CENTER CHURCH, INC.",0.038,,,,,,,,,93578.0
FM,W214BZ,90.7,SAVANNAH,GA,,32.05741666666666,81.14622222222224,D,RELIGIOUS TEACHING,RADIO BY GRACE,"RADIO BY GRACE, INC.",0.027,,SAVANNAH,145.0,"341,400",,,,,148330.0
FM,W215AY,90.9,ELLIJAY,GA,,34.62952777777778,84.49130555555556,D,CONTEMPORARY CHRISTIAN,THE MESSAGE,"IMMANUEL BROADCASTING NETWORK, INC.",0.01,188.6,,,,,,,,28336.0
FM,W215BA,90.9,ROME,GA,,34.233222222222224,85.23363888888889,D,RELIGIOUS TEACHING,REJOICE RADIO,"PENSACOLA CHRISTIAN COLLEGE, INC.",0.01,260.0,,,,,,,,85816.0
FM,W220EH,91.9,GAINESVILLE,GA,,34.312916666666666,83.78652777777778,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,"CSN INTERNATIONAL, INC.",0.01,,,,,,,,,93847.0
FM,W221AW,92.1,NORTH CANTON,GA,,34.153888888888886,84.51222222222222,D,CONTEMPORARY CHRISTIAN,THE MESSAGE,"IMMANUEL BROADCASTING NETWORK, INC.",0.019,272.2,ATLANTA,7.0,"5,102,700",,,,,28335.0
FM,W221DP,92.1,COLUMBUS,GA,,32.46652777777778,85.05605555555556,D,CLASSIC ROCK,CLASSIC ROCK 105.5,"PMB BROADCASTING, LLC",0.25,,"COLUMBUS, GA",187.0,"222,200",,,,,151795.0
FM,W222AF,92.3,MARIETTA,GA,,33.764361111111114,84.36158333333333,D,CONTEMPORARY CHRISTIAN,AIR1,"K-LOVE, INC.",0.25,,ATLANTA,7.0,"5,102,700",,,,,83640.0
FM,W222CT,92.3,WEST POINT,GA,,32.87638888888889,85.18555555555555,D,TALK,,"TIGER COMMUNICATIONS, INC.",0.25,,,,,,,,Braves,202968.0
FM,W223BP,92.5,DALLAS,GA,,33.91416666666667,84.79572222222222,D,CONTEMPORARY CHRISTIAN,K-LOVE,"K-LOVE, INC",0.019,,ATLANTA,7.0,"5,102,700",,,,,148961.0
FM,W223CQ,92.5,LAWRENCEVILLE,GA,,33.986666666666665,84.05694444444444,D,CONTEMPORARY CHRISTIAN,THE JOY FM,"RADIO TRAINING NETWORK, INC",0.25,,ATLANTA,7.0,"5,102,700",,,,,67214.0
FM,W224BE,92.7,SYLVANIA,GA,,32.76544444444445,81.649,D,CONTEMPORARY CHRISTIAN,88.3 WAFJ,"RADIO TRAINING NETWORK, INC.",0.027,70.1,,,,,,,,156922.0
FM,W224CY,92.7,ATHENS,GA,,33.98733333333333,83.33794444444445,D,URBAN CONTEMPORARY,THE HEART AND SOUL OF ATHENS GEORGIA,"MECA COMMUNICATIONS, INC.",0.25,,,,,,,,,155833.0
FM,W224DA,92.7,PORT WENTWORTH,GA,,32.155,81.165,D,CONTEMPORARY CHRISTIAN,HIS RADIO,"RADIO TRAINING NETWORK, INC.",0.23,,SAVANNAH,145.0,"341,400",,,,,153486.0
FM,W224DS,92.7,ROME,GA,,34.23388888888889,85.23055555555555,D,COUNTRY,K COUNTRY,"WOMAN'S WORLD BROADCASTING, INC.",0.12,,,,,,,,,201444.0
FM,W226BP,93.1,DUBLIN,GA,,32.522666666666666,82.89986111111112,D,,CLASSIC COUNTRY,"LAURENS COUNTY BROADCASTING COMPANY, INC.NS, INC.",0.25,,,,,,,,,149348.0
FM,W226BY,93.1,TOCCOA,GA,,34.60991666666667,83.37063888888888,D,CLASSIC HITS,TOCCOA`S RADIO STATION 93.1 FM & AM 630 WNEG,"GEORGIA-CAROLINA RADIOCASTING COMPANY, LLC",0.25,,,,,Falcons,,,,151910.0
FM,W226BZ,93.1,MACON,GA,,32.75361111111111,83.56277777777777,D,SPORTS,MIDDLE GEORGIA`S ESPN,"SHANKS BROADCASTING, LLC",0.12,,MACON,130.0,"385,400",Falcons,Hawks,,Braves,141571.0
FM,W227DG,93.3,DALTON,GA,,34.73258333333334,85.01883333333333,D,CONTEMPORARY CHRISTIAN,HOPE 93.3,"HOPE BROADCASTING, INC.",0.25,,,,,,,,,152240.0
FM,W227DP,93.3,VALDOSTA,GA,,30.834916666666665,83.29905555555555,D,CLASSIC ROCK,ROCK 93.3,"SOUTHERN COMMUNICATIONS, LLC",0.25,,VALDOSTA,235.0,"125,700",,,,,200545.0
FM,W228CA,93.5,SUWANEE,GA,,34.12566666666667,83.85877777777777,D,ROCK,THE OTHER SIDE OF THE RIVER,"COX RADIO, LLC",0.23,,,,,,,,,138393.0
FM,W229AG,93.7,ATLANTA,GA,,33.80733333333333,84.3393611111111,D,SPORTS,THE FAN 680 AND 93-7 FM,DICKEY BROADCASTING COMPANY,0.25,,ATLANTA,7.0,"5,102,700",,,,Braves,88937.0
FM,W229AJ,93.7,CLAXTON,GA,,32.167138888888886,81.90177777777778,D,CLASSIC HITS,SUNNY 1470 CLASSIC HITS,W. DANNY SWAIN D/B/A/ RADIO EVANS,0.25,85.8,,,,,,,Braves,145113.0
FM,W229CE,93.7,ELLIJAY,GA,,34.62952777777778,84.49130555555556,D,SPORTS,THE SPORTS PIG,"CARRIAGE RADIO, LLC",0.25,,,,,,,,Braves,139736.0
FM,W229CI,93.7,TALLAPOOSA,GA,,33.65102777777778,85.29455555555555,D,COUNTRY,KING COUNTRY FM 93.7 AM1060,"WKNG, LLC",0.25,,ATLANTA,7.0,"5,102,700",,,,,143039.0
FM,W229CX,93.7,LAFAYETTE,GA,,34.715611111111116,85.26783333333333,D,COUNTRY,Q COUNTRY 1590AM AND 93.7FM,"LAFAYETTE RADIO, INC.",0.25,,CHATTANOOGA,88.0,"621,200",,,,,200344.0
FM,W230CT,93.9,CLEVELAND,GA,,34.56597222222222,83.77766666666666,D,TALK,NEWSTALK 1350,"WHITE COUNTY MEDIA, LLC",0.22,,,,,,,,,200991.0
FM,W231AO,94.1,COLUMBUS,GA,,32.5125,85.01138888888889,D,URBAN GOSPEL/BLUES,THE PEOPLES' STATION,"RADIO TRAINING NETWORK, INC.",0.099,,"COLUMBUS, GA",187.0,"222,200",,,,,149991.0
FM,W232BD,94.3,BLAIRSVILLE,GA,,34.86647222222222,83.95547222222223,D,COUNTRY,MOUNTAIN COUNTRY 103.9 FM,"BLAIRSVILLE MUSIC, INC.",0.01,65.1,,,,,,,,144182.0
FM,W232DA,94.3,ST MARYS,GA,,30.80138888888889,81.67833333333334,D,CONTEMPORARY CHRISTIAN,,"BLUEBERRY BROADCASTING COMPANY, INC.",0.25,,,,,,,,,153392.0
FM,W232DB,94.3,VALDOSTA,GA,,30.847416666666664,83.23708333333333,D,SPORTS,FOX SPORTS VALDOSTA,"SMALLTOWN BROADCASTING, LLC",0.25,,VALDOSTA,235.0,"125,700",,,,Braves,139408.0
FM,W232DU,94.3,CLARKESVILLE,GA,,34.502027777777776,83.51222222222222,D,TALK,WCHM 94.3,"CLEIMAN COMMUNICATIONS, LLC",0.25,,,,,,,,,150117.0
FM,W233BF,94.5,ATLANTA,GA,,33.74483333333333,84.35991666666666,D,URBAN CONTEMPORARY,STREETZ 94.5,"CORE COMMUNICATORS BROADCASTING, LLC",0.166,,ATLANTA,7.0,"5,102,700",,,,,146158.0
FM,W233CA,94.5,ATHENS,GA,,33.94511111111111,83.3771111111111,D,NEWS/VARIETY,GEORGIA PUBLIC RADIO,GEORGIA PUBLIC TELECOMMUNICATIONS COMMISSION,0.235,58.3,,,,,,,,22988.0
FM,W233CO,94.5,GAINESVILLE,GA,,34.316861111111116,83.82933333333332,D,ADULT CONTEMPORARY,THE LAKE 94.5 FM & 1240 AM,JACOBS MEDIA CORPORATION,0.25,,,,,,,,Braves,201525.0
FM,W234BX,94.7,HIGHLAND PINES,GA,,32.5125,85.01138888888889,D,NEWS,BIN,"RADIO TRAINING NETWORK, INC.",0.22,,,,,,,,,149993.0
FM,W234CQ,94.7,MACON,GA,,32.85125,83.6035,D,URBAN CONTEMPORARY,FOX-FM,"GEORGIA RADIO ALLIANCE 94.9 FM, LLC",0.099,,MACON,130.0,"385,400",,,,,153386.0
FM,W236CC,95.1,RICHMOND HILL,GA,,31.993805555555557,81.26622222222223,D,RELIGIOUS TEACHING,GOOD NEWS NETWORK,"AUGUSTA RADIO FELLOWSHIP INSTITUTE, INC",0.038,73.0,SAVANNAH,145.0,"341,400",,,,,139936.0
FM,W236DU,95.1,COMMERCE,GA,,34.211222222222226,83.46405555555556,D,COUNTRY,WHISPERIN` 95.1 FM 1270 AM,"SIDE COMMUNICATIONS, INC.",0.25,,,,,,,,,202901.0
FM,W237EZ,95.3,SWAINSBORO,GA,,32.58111111111111,82.38722222222223,D,TALK,AM 800 THE PATRIOT,"RADIOJONES, LLC",0.25,,,,,Falcons,,,,202896.0
FM,W238CG,95.5,WARNER ROBINS,GA,,32.749583333333334,83.55963888888888,D,URBAN CONTEMPORARY,FOX-FM,"GEORGIA RADIO ALLIANCE 95.5 FM, LLC",0.25,205.5,MACON,130.0,"385,400",,,,,151900.0
FM,W240BK,95.9,RUTLAND,GA,,32.72569444444444,83.65825000000001,D,SPORTS,FOX SPORTS 910 AM -1310 AM THE GAME,IHEARTMEDIA,0.25,27.1,MACON,130.0,"385,400",,,,,158306.0
FM,W240DR,95.9,CAIRO,GA,,30.9025,84.23416666666667,D,TALK,NEWS TALK 790,"LOVETT BROADCASTING ENTERPRISES, INC.",0.25,,,,,,,,,200717.0
FM,W240EK,95.9,ATHENS,GA,,34.08363888888889,83.32202777777778,D,RHYTHM AND BLUES,95.9 THE BEAT OF ATHENS,"OCONEE COMMUNICATIONS COMPANY, LLC",0.1,89.0,,,,,,,,85699.0
FM,W241AF,96.1,ROSSVILLE,GA,,35.00991666666667,85.34333333333333,D,CONTEMPORARY CHRISTIAN,THE MESSAGE,"IMMANUEL BROADCASTING NETWORK, INC.",0.25,378.1,CHATTANOOGA,88.0,"621,200",,,,,28329.0
FM,W241CO,96.1,HAWKINSVILLE,GA,,32.467555555555556,83.57897222222222,D,CLASSIC ROCK,HIGHWAY 96,GORILLA BROADCASTING LLC,0.25,,MACON,130.0,"385,400",,,,,201216.0
FM,W242BE,96.3,WAYCROSS,GA,,31.19772222222222,82.32597222222222,D,CLASSIC ROCK,"CLASSIC ROCK 96,3","SATILLA BROADCAST PROPERTIES, LLC",0.25,122.1,,,,Jaguars,,,,140868.0
FM,W242CJ,96.3,BRUNSWICK,GA,,31.16938888888889,81.53705555555555,D,CLASSIC HIP-HOP,REAL 96.3,IHEARTMEDIA,0.22,,BRUNSWICK,249.0,"91,100",,,,,141780.0
FM,W243CE,96.5,WINDER,GA,,34.12566666666667,83.85877777777777,D,CONTEMPORARY HIT RADIO,LA MEGA 1290 AM/96.5 FM,"DAVIS BROADCASTING OF ATLANTA, LLC",0.25,392.2,,,,,,,,146804.0
FM,W243DQ,96.5,MARIETTA,GA,,33.98252777777778,84.56538888888889,D,SPANISH HITS,LA MEGA MUNDIAL,"PRIETO BROADCASTING, INC.",0.25,,ATLANTA,7.0,"5,102,700",,,,,20726.0
FM,W243EE,96.5,ATLANTA,GA,,33.80733333333333,84.3393611111111,D,SMOOTH JAZZ,SMOOTH JAZZ 101.1/100.1,"DAVIS BROADCASTING OF ATLANTA, L.L.C.",0.15,,ATLANTA,7.0,"5,102,700",,,,,201628.0
FM,W244CL,96.7,COCHRAN,GA,,32.467555555555556,83.57897222222222,D,COUNTRY,96 COUNTRY,GORILLA BROADCASTING LLC,0.15,,MACON,130.0,"385,400",,,,,150114.0
FM,W244CR,96.7,BAXLEY,GA,,31.785194444444446,82.44930555555555,D,ADULT CONTEMPORARY,THE BIG WUFE 96.7 FM,"SOUTH GEORGIA BROADCASTERS, INC.",0.25,285.0,,,,,,,,151838.0
FM,W244EI,96.7,ATLANTA,GA,,33.91705555555556,84.20158333333333,D,ETHNIC,RADIO KOREA,"ATLANTA RADIO KOREA, INC.",0.099,,ATLANTA,7.0,"5,102,700",,,,,202880.0
FM,W245AN,96.9,MILLEDGEVILLE,GA,,33.11388888888889,83.21888888888888,D,ADULT STANDARDS,,"CSN INTERNATIONAL, INC.",0.25,,,,,,,,,156896.0
FM,W245AW,96.9,LA GRANGE,GA,,33.037055555555554,85.0305,D,SPORTS,EAGLE SPORTS,"EAGLE'S NEST, INC.",0.25,80.3,,,,,,,,138348.0
FM,W245CN,96.9,GRIFFIN,GA,,33.249,84.26936111111111,D,RELIGIOUS TEACHING,BIBLE BROADCASTING NETWORK,"BIBLE BROADCASTING NETWORK, INC.",0.055,,ATLANTA,7.0,"5,102,700",,,,,81988.0
FM,W245DG,96.9,ROME,GA,,34.23563888888889,85.22855555555556,D,TALK,WLAQ AM 1410 AND FM 96.9,CRIPPLE CREEK BROADCASTING COMPANY,0.25,,,,,,,,Braves,202054.0
FM,W245DN,96.9,LYONS,GA,,32.214083333333335,82.33077777777777,D,OLDIES,1340 OLDIES WBBT,"T.C.B. BROADCASTING, INC",0.25,,,,,,,,,202088.0
FM,W246BQ,97.1,SWAINSBORO,GA,,32.58111111111111,82.38722222222223,D,CLASSIC HITS,THE ROCKET 97.1,"RADIOJONES, LLC",0.25,93.3,,,,,,,,150125.0
FM,W246DF,97.1,AMERICUS,GA,,32.08430555555556,84.24294444444445,D,RELIGIOUS TEACHING,THE LIFE FM,THE POWER FOUNDATION,0.055,,,,,,,,,141675.0
FM,W247BW,97.3,MACON,GA,,32.84125,83.67144444444445,D,COUNTRY,97.3 & 1033 THE BULL ICONS,IHEARTMEDIA,0.25,,MACON,130.0,"385,400",,,,,140321.0
FM,W247CJ,97.3,MANCHESTER,GA,,32.851888888888894,84.70152777777778,D,CLASSIC HITS,FOX,"P.B. BROADCASTING OF GEORGIA, LLC",0.25,,,,,,,,,148547.0
FM,W248AH,97.5,BRUNSWICK,GA,,31.194388888888888,81.4915,D,EASY LISTENING,,ESTATE OF DEBRA SEARS GRAHAM,0.12,42.9,BRUNSWICK,249.0,"91,100",,,,,157241.0
FM,W248DL,97.5,MURRAYVILLE,GA,,34.37005555555556,83.94811111111112,D,SOUTHERN GOSPEL,97.5 GLORY FM,"VISION COMMUNICATIONS OF GEORGIA, INC.",0.25,,,,,,,,,200541.0
FM,W249BS,97.7,SAVANNAH,GA,,32.05738888888889,81.14630555555556,D,TALK,NEWS RADIO 97.7 AND 1290,IHEARTMEDIA,0.25,143.4,SAVANNAH,145.0,"341,400",,,,,151866.0
FM,W249CK,97.7,DULUTH,GA,,34.12566666666667,83.85877777777777,D,ROCK,THE OTHER SIDE OF THE RIVER,"COX RADIO, LLC",0.075,,,,,,,,,147419.0
FM,W249DB,97.7,HIAWASSEE,GA,,34.940638888888884,83.91877777777778,D,CLASSIC HITS,WJUL 97.7 FM,"WJUL RADIO, LLC",0.095,,,,,,,,Braves,76692.0
FM,W250BC,97.9,ATLANTA,GA,,33.80733333333333,84.3393611111111,D,CLASSIC HIP-HOP,OG97.9,CUMULUS MEDIA,0.25,303.3,ATLANTA,7.0,"5,102,700",,,,,158597.0
FM,W250BK,97.9,CHATSWORTH,GA,,34.76533333333333,84.74908333333333,D,RELIGIOUS TEACHING,LIFETALK RADIO,CHATSWORTH SEVENTH-DAY ADVENTIST CHURCH,0.055,-66.6,,,,,,,,141703.0
FM,W251AU,98.1,OCILLA,GA,,31.592666666666666,83.23930555555556,D,RELIGIOUS TEACHING,FREEDOM RADIO FM,"JOURNEY CHURCH OF TIFTON, INC.",0.035,57.8,,,,,,,,151852.0
FM,W251CZ,98.1,JASPER,GA,,34.52952777777778,84.33983333333333,D,SPORTS,THE SPORTS PIG,"CARRIAGE RADIO, LLC",0.2,,,,,,,,,201128.0
FM,W252BD,98.3,BLAKELY,GA,,31.402388888888886,84.95908333333334,D,RELIGIOUS TEACHING,GOOD NEWS RADIO,"AUGUSTA RADIO FELLOWSHIP INSTITUTE, INC",0.027,78.0,,,,,,,,138268.0
